epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2290.02,0.88361,1.32388,1.21052,0.71366,0.57756,0.63135,0.47292,1.01329,1.37984,1.23577,6.41655e-05,6.41655e-05,6.41655e-05
55,2331.93,0.86337,1.28893,1.19757,0.70314,0.57041,0.6249,0.46109,1.07262,1.40362,1.27272,6.2829e-05,6.2829e-05,6.2829e-05
56,2373.46,0.8734,1.29079,1.19211,0.66346,0.57556,0.62641,0.46445,1.0492,1.39658,1.25052,6.14925e-05,6.14925e-05,6.14925e-05
57,2415.59,0.88809,1.30923,1.20397,0.66803,0.57344,0.63883,0.47237,1.04114,1.35766,1.25314,6.0156e-05,6.0156e-05,6.0156e-05
58,2457.69,0.88672,1.31017,1.20284,0.71464,0.54917,0.64431,0.48492,0.99852,1.35956,1.22939,5.88195e-05,5.88195e-05,5.88195e-05
59,2499.32,0.86389,1.29195,1.19796,0.66527,0.59417,0.638,0.47702,1.02661,1.34099,1.24397,5.7483e-05,5.7483e-05,5.7483e-05
60,2540.52,0.86699,1.27068,1.19749,0.74395,0.57161,0.63698,0.47097,1.06109,1.36481,1.27036,5.61465e-05,5.61465e-05,5.61465e-05
61,2582.95,0.86892,1.26595,1.19367,0.64912,0.59848,0.64858,0.48094,1.0452,1.38339,1.25269,5.481e-05,5.481e-05,5.481e-05
62,2624.53,0.87338,1.27615,1.19529,0.68482,0.59332,0.62669,0.46404,1.02291,1.37498,1.23066,5.34735e-05,5.34735e-05,5.34735e-05
63,2666.45,0.86858,1.25268,1.1861,0.7144,0.56576,0.62456,0.46101,1.06651,1.37977,1.26034,5.2137e-05,5.2137e-05,5.2137e-05
64,2709.46,0.848,1.21984,1.19128,0.74809,0.56893,0.64411,0.48627,0.99767,1.34239,1.21912,5.08005e-05,5.08005e-05,5.08005e-05
65,2751.48,0.85959,1.23791,1.18211,0.73296,0.57229,0.65894,0.49564,1.00847,1.35849,1.22394,4.9464e-05,4.9464e-05,4.9464e-05
66,2792.94,0.85227,1.21439,1.1901,0.6994,0.58021,0.64246,0.47007,1.05861,1.35585,1.25904,4.81275e-05,4.81275e-05,4.81275e-05
67,2835.93,0.84648,1.21471,1.18428,0.74872,0.5594,0.64522,0.48611,1.00035,1.39969,1.20985,4.6791e-05,4.6791e-05,4.6791e-05
68,2878.05,0.85327,1.21511,1.17958,0.73507,0.58552,0.65556,0.49038,1.04924,1.38758,1.23865,4.54545e-05,4.54545e-05,4.54545e-05
69,2919.9,0.85396,1.21334,1.19152,0.75988,0.56007,0.6544,0.48439,1.04958,1.35937,1.25458,4.4118e-05,4.4118e-05,4.4118e-05
70,2962.49,0.86033,1.21304,1.18393,0.7584,0.55348,0.66777,0.49472,1.02105,1.36596,1.22746,4.27815e-05,4.27815e-05,4.27815e-05
71,3005.96,0.84567,1.19116,1.17196,0.71232,0.5612,0.64537,0.484,1.02802,1.36483,1.23711,4.1445e-05,4.1445e-05,4.1445e-05
72,3048.5,0.84117,1.18922,1.17913,0.74257,0.55321,0.66437,0.48754,1.04792,1.34948,1.24913,4.01085e-05,4.01085e-05,4.01085e-05
73,3091.73,0.84867,1.21155,1.19139,0.74296,0.5641,0.6584,0.48201,1.06587,1.34581,1.25389,3.8772e-05,3.8772e-05,3.8772e-05
74,3135.91,0.84882,1.187,1.17498,0.74302,0.56226,0.65762,0.49016,1.02603,1.34521,1.23504,3.74355e-05,3.74355e-05,3.74355e-05
75,3180.96,0.83693,1.1734,1.17528,0.75949,0.56812,0.64452,0.47678,1.03604,1.34557,1.24365,3.6099e-05,3.6099e-05,3.6099e-05
76,3223.76,0.83559,1.15218,1.17059,0.75612,0.53605,0.6495,0.4816,1.03478,1.34611,1.23099,3.47625e-05,3.47625e-05,3.47625e-05
77,3266.86,0.8316,1.18246,1.17965,0.66024,0.61575,0.65325,0.49293,1.02286,1.3471,1.23285,3.3426e-05,3.3426e-05,3.3426e-05
78,3310.62,0.83288,1.14244,1.16884,0.70982,0.5786,0.65123,0.48944,1.02954,1.33615,1.23216,3.20895e-05,3.20895e-05,3.20895e-05
